gi|260548765|ref|ZP_05822987.1|	K06889
gi|260548766|ref|ZP_05822988.1|	K03672
gi|260548767|ref|ZP_05822989.1|	K10806
gi|260548768|ref|ZP_05822990.1|
gi|260548769|ref|ZP_05822991.1|
gi|260548770|ref|ZP_05822992.1|	K09767
gi|260548771|ref|ZP_05822993.1|
gi|260548772|ref|ZP_05822994.1|	K15461
gi|260548773|ref|ZP_05822995.1|
gi|260548774|ref|ZP_05822996.1|	K09780
gi|260548775|ref|ZP_05822997.1|	K06190
gi|260548776|ref|ZP_05822998.1|	K07053
gi|260548777|ref|ZP_05822999.1|	K08994
gi|260548778|ref|ZP_05823000.1|	K03630
gi|260548779|ref|ZP_05823001.1|	K13038
gi|260548780|ref|ZP_05823002.1|	K03074
gi|260548781|ref|ZP_05823003.1|	K03072
gi|260548782|ref|ZP_05823004.1|	K03210
gi|260548783|ref|ZP_05823005.1|	K00773
gi|260548784|ref|ZP_05823006.1|
gi|260548785|ref|ZP_05823007.1|
gi|260548786|ref|ZP_05823008.1|	K07568
gi|260548787|ref|ZP_05823009.1|
gi|260548788|ref|ZP_05823010.1|	K00982
gi|260548789|ref|ZP_05823011.1|	K00826
gi|260548790|ref|ZP_05823012.1|	K07276
gi|260548791|ref|ZP_05823013.1|
gi|260548792|ref|ZP_05823014.1|
gi|260548793|ref|ZP_05823015.1|
gi|260548794|ref|ZP_05823016.1|	K01043
gi|260548795|ref|ZP_05823017.1|
gi|260548796|ref|ZP_05823018.1|
gi|260548797|ref|ZP_05823019.1|
gi|260548798|ref|ZP_05823020.1|
gi|260548799|ref|ZP_05823021.1|
gi|260548800|ref|ZP_05823022.1|	K01854
gi|260548801|ref|ZP_05823023.1|
gi|260548802|ref|ZP_05823024.1|	K08239
gi|260548803|ref|ZP_05823025.1|	K01876
gi|260548804|ref|ZP_05823026.1|
gi|260548805|ref|ZP_05823027.1|	K02014
gi|260548806|ref|ZP_05823028.1|
gi|260548807|ref|ZP_05823029.1|
gi|260548808|ref|ZP_05823030.1|
gi|260548809|ref|ZP_05823031.1|
gi|260548810|ref|ZP_05823032.1|	K00257
gi|260548811|ref|ZP_05823033.1|	K00257
gi|260548812|ref|ZP_05823034.1|
gi|260548813|ref|ZP_05823035.1|	K07642
gi|260548814|ref|ZP_05823036.1|	K07664
gi|260548815|ref|ZP_05823037.1|	K08997
gi|260548816|ref|ZP_05823038.1|	K00507
gi|260548817|ref|ZP_05823039.1|
gi|260548818|ref|ZP_05823040.1|	K01126
gi|260548819|ref|ZP_05823041.1|	K00798
gi|260548820|ref|ZP_05823042.1|	K16092
gi|260548821|ref|ZP_05823043.1|	K01817
gi|260548822|ref|ZP_05823044.1|	K01696
gi|260548823|ref|ZP_05823045.1|
gi|260548824|ref|ZP_05823046.1|
gi|260548825|ref|ZP_05823047.1|
gi|260548826|ref|ZP_05823048.1|	K07044
gi|260548827|ref|ZP_05823049.1|
gi|260548828|ref|ZP_05823050.1|	K01695
gi|260548829|ref|ZP_05823051.1|	K01963
gi|260548830|ref|ZP_05823052.1|	K11754
gi|260548831|ref|ZP_05823053.1|
gi|260548832|ref|ZP_05823054.1|
